PT	AU	BA	BE	GP	AF	CA	TI	SO	SE	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	FU	FX	CR	NR	TC	Z9	PU	PI	PA	SN	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	BP	EP	AR	DI	D2	PG	P2	WC	SC	GA	UT
J	Slattery, MG; Liko, D; Heideman, W				Slattery, Matthew G.; Liko, Dritan; Heideman, Warren		Protein kinase A, TOR, and glucose transport control the response to nutrient repletion in Saccharomyces cerevisiae	EUKARYOTIC CELL																								1535-9778				FEB	2008	7	2				358	367		10.1128/EC.00334-07							WOS:000258665900019	
J	Hallen, HE; Trail, F				Hallen, Heather E.; Trail, Frances		The L-type calcium ion channel Cch1 affects ascospore discharge and mycelial growth in the filamentous fungus Gibberella zeae (anamorph Fusarium graminearum)	EUKARYOTIC CELL																								1535-9778				FEB	2008	7	2				415	424		10.1128/EC.00248-07							WOS:000258665900024	
J	Zhao, XM; Wang, Y; Chen, LN; Aihara, K				Zhao, Xing-Ming; Wang, Yong; Chen, Luonan; Aihara, Kazuyuki		Gene function prediction using labeled and unlabeled data	BMC BIOINFORMATICS																								1471-2105				JAN 28	2008	9							57	10.1186/1471-2105-9-57							WOS:000254435900002	
J	Leontovich, AM; Tokmachev, KY; van Houwelingen, HC				Leontovich, Andrey M.; Tokmachev, Konstantin Y.; van Houwelingen, Hans C.		The comparative analysis of statistics, based on the likelihood ratio criterion, in the automated annotation problem	BMC BIOINFORMATICS																								1471-2105				JAN 22	2008	9							31	10.1186/1471-2105-9-31							WOS:000254009500001	
J	Tian, WD; Zhang, LV; Tasan, M; Gibbons, FD; King, OD; Park, J; Wunderlich, Z; Cherry, JM; Roth, FP				Tian, Weidong; Zhang, Lan V.; Tasan, Murat; Gibbons, Francis D.; King, Oliver D.; Park, Julie; Wunderlich, Zeba; Cherry, J. Michael; Roth, Frederick P.		Combining guilt-by-association and guilt-by-profiling to predict Saccharomyces cerevisiae gene function	GENOME BIOLOGY																								1474-760X					2008	9			1				S7	10.1186/gb-2008-9-s1-s7							WOS:000278173500007	
J	Xia, D; Sanderson, SJ; Jones, AR; Prieto, JH; Yates, JR; Bromley, E; Tomley, FM; Lal, K; Sinden, RE; Brunk, BP; Roos, DS; Wastling, JM				Xia, Dong; Sanderson, Sanya J.; Jones, Andrew R.; Prieto, Judith H.; Yates, John R.; Bromley, Elizabeth; Tomley, Fiona M.; Lal, Kalpana; Sinden, Robert E.; Brunk, Brian P.; Roos, David S.; Wastling, Jonathan M.		The proteome of Toxoplasma gondii: integration with the genome provides novel insights into gene expression and annotation	GENOME BIOLOGY																								1474-760X					2008	9	7						R116	10.1186/gb-2008-9-7-r116							WOS:000258773600017	
S	Carter, P; Lee, D; Orengo, C		Joachimiak, A		Carter, Phil; Lee, David; Orengo, Christine		TARGET SELECTION IN STRUCTURAL GENOMICS PROJECTS TO INCREASE KNOWLEDGE OF PROTEIN STRUCTURE AND FUNCTION SPACE	STRUCTURAL GENOMICS, PT A	ADVANCES IN PROTEIN CHEMISTRY																							0065-3233	978-0-12-374436-4				2008	75					1	+		10.1016/S1876-1623(08)00001-1							WOS:000262209700001	
J	Grimm, M; Stephan, R; Iversen, C; Manzardo, GGG; Rattei, T; Riedel, K; Ruepp, A; Frishman, D; Lehner, A				Grimm, Maya; Stephan, Roger; Iversen, Carol; Manzardo, Giuseppe G. G.; Rattei, Thomas; Riedel, Kathrin; Ruepp, Andreas; Frishman, Dmitrij; Lehner, Angelika		Cellulose as an extracellular matrix component present in Enterobacter sakazakii biofilms	JOURNAL OF FOOD PROTECTION																								0362-028X				JAN	2008	71	1				13	18									WOS:000252162900002	
S	Li, M; Wang, JX; Chen, J		Mandoiu, I; Sunderraman, R; Zelikovsky, A		Li, Min; Wang, Jianxin; Chen, Jianer		A graph-theoretic method for mining overlapping functional modules in protein interaction networks	BIOINFORMATICS RESEARCH AND APPLICATIONS	Lecture Notes in Bioinformatics			4th International Symposium on Bioinformatics Research and Applications	MAY 06-09, 2008	Atlanta, GA		Georgia State Univ																0302-9743	978-3-540-79449-3				2008	4983					208	219									WOS:000255941000019	
J	Feldbrugge, M; Zarnack, K; Vollmeister, E; Baumann, S; Koepke, J; Koenig, J; Munsterkotter, M; Mannhaupt, G				Feldbruegge, Michael; Zarnack, Kathi; Vollmeister, Evelyn; Baumann, Sebastian; Koepke, Janine; Koenig, Julian; Muensterkoetter, Martin; Mannhaupt, Gertrud		The posttranscriptional machinery of Ustilago maydis	FUNGAL GENETICS AND BIOLOGY																								1087-1845					2008	45			1		S40	S46		10.1016/j.fgb.2008.03.013							WOS:000258205600006	
J	Mewes, HW; Dietmann, S; Frishman, D; Gregory, R; Mannhaupt, G; Mayer, KFX; Munsterkotter, M; Ruepp, A; Spannagl, M; Stuempflen, V; Rattei, T				Mewes, H. W.; Dietmann, S.; Frishman, D.; Gregory, R.; Mannhaupt, G.; Mayer, K. F. X.; Muensterkoetter, M.; Ruepp, A.; Spannagl, M.; Stuempflen, V.; Rattei, T.		MIPS: analysis and annotation of genome information in 2007	NUCLEIC ACIDS RESEARCH																								0305-1048				JAN	2008	36				SI	D196	D201		10.1093/nar/gkm980							WOS:000252545400036	
J	Yeats, C; Lees, J; Reid, A; Kellam, P; Martin, N; Liu, X; Orengo, C				Yeats, Corin; Lees, Jonathan; Reid, Adam; Kellam, Paul; Martin, Nigel; Liu, Xinhui; Orengo, Christine		Gene3D: comprehensive structural and functional annotation of genomes	NUCLEIC ACIDS RESEARCH																								0305-1048				JAN	2008	36				SI	D414	D418		10.1093/nar/gkm1019							WOS:000252545400075	
J	Ruepp, A; Brauner, B; Dunger-Kaltenbach, I; Frishman, G; Montrone, C; Stransky, M; Waegele, B; Schmidt, T; Doudieu, ON; Mpflen, VS; Mewes, HW				Ruepp, Andreas; Brauner, Barbara; Dunger-Kaltenbach, Irmtraud; Frishman, Goar; Montrone, Corinna; Stransky, Michael; Waegele, Brigitte; Schmidt, Thorsten; Doudieu, Octave Noubibou; Mpflen, Volker Stu; Mewes, H. Werner		CORUM: the comprehensive resource of mammalian protein complexes	NUCLEIC ACIDS RESEARCH																								0305-1048				JAN	2008	36				SI	D646	D650		10.1093/nar/gkm936							WOS:000252545400116	
J	Yuan, XL; Roubos, JA; van den Hondel, CAMJJ; Ram, AFJ				Yuan, Xiao-Lian; Roubos, Johannes A.; van den Hondel, Cees A. M. J. J.; Ram, Arthur F. J.		Identification of InuR, a new Zn(II)2Cys6 transcriptional activator involved in the regulation of inulinolytic genes in Aspergillus niger	MOLECULAR GENETICS AND GENOMICS																								1617-4615				JAN	2008	279	1				11	26		10.1007/s00438-007-0290-5							WOS:000251600600002	
B	Li, M; Wang, JX; Chen, J			IEEE	Li, Min; Wang, Jianxin; Chen, Jian'er		A fast agglomerate algorithm for mining functional modules in protein interaction networks	BMEI 2008: PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON BIOMEDICAL ENGINEERING AND INFORMATICS, VOL 1				1st International Conference on Biomedical Engineering and Informatics	MAY 27-30, 2008	Sanya, PEOPLES R CHINA	Tianjin Univ Technol, IEEE Comp Soc																		978-0-7695-3118-2				2008						3	7		10.1109/BMEI.2008.121							WOS:000257096000001	
J	Cui, GY; Chen, Y; Huang, DS; Han, K				Cui, Guangyu; Chen, Yu; Huang, De-Shuang; Han, Kyungsook		An algorithm for finding functional modules and protein complexes in protein-protein interaction networks	JOURNAL OF BIOMEDICINE AND BIOTECHNOLOGY																								1110-7243					2008								860270	10.1155/2008/860270							WOS:000255761600001	
B	Pandey, G; Ramakrishnan, LN; Steinbach, M; Kumar, V		Chen, X; Hu, X; Kim, S	IEEE Computer Society	Pandey, Gaurav; Ramakrishnan, Lakshmi Naarayanan; Steinbach, Michael; Kumar, Vipin		Systematic Evaluation of Scaling Methods for Gene Expression Data	2008 IEEE INTERNATIONAL CONFERENCE ON BIOINFORMATICS AND BIOMEDICINE, PROCEEDINGS				IEEE International Conference on Bioinformatics and Biomedicine	NOV 03-05, 2008	Philadelphia, PA	IEEE																		978-0-7695-3452-7				2008						376	381		10.1109/BIBM.2008.33							WOS:000264284200059	
J	Munsterkotter, M; Steinberg, G				Muensterkoetter, Martin; Steinberg, Gero		The fungus Ustilago maydis and humans share disease-related proteins that are not found in Saccharomyces cerevisiae	BMC GENOMICS																								1471-2164				DEC 20	2007	8							473	10.1186/1471-2164-8-473							WOS:000253973300001	
J	Ramel, F; Sulmon, C; Cabello-Hurtado, F; Taconnat, L; Martin-Magniette, ML; Renou, JP; El Amrani, A; Couee, I; Gouesbet, G				Ramel, Fanny; Sulmon, Cecile; Cabello-Hurtado, Francisco; Taconnat, Ludivine; Martin-Magniette, Marie-Laure; Renou, Jean-Pierre; El Amrani, Abdelhak; Couee, Ivan; Gouesbet, Gwenola		Genome-wide interacting effects of sucrose and herbicide-mediated stress in Arabidopsis thaliana: novel insights into atrazine toxicity and sucrose-induced tolerance	BMC GENOMICS																								1471-2164				DEC 5	2007	8							450	10.1186/1471-2164-8-450							WOS:000253147200001	
J	Bellazzi, R; Zupan, B				Bellazzi, Riccardo; Zupan, Blaz		Towards knowledge-based gene expression data mining	JOURNAL OF BIOMEDICAL INFORMATICS																								1532-0464				DEC	2007	40	6				787	802		10.1016/j.jbi.2007.06.005							WOS:000252356500016	
J	Meyer, V; Damveld, RA; Arentshorst, M; Stahl, U; van den Hondel, CAMJJ; Ram, AFJ				Meyer, Vera; Damveld, Robbert A.; Arentshorst, Mark; Stahl, Ulf; van den Hondel, Cees A. M. J. J.; Ram, Arthur F. J.		Survival in the presence of antifungals - Genome-wide expression profiling of aspergillus niger in response to sublethal concentrations of caspofungin and fenpropimorph	JOURNAL OF BIOLOGICAL CHEMISTRY																								0021-9258				NOV 9	2007	282	45				32935	32948		10.1074/jbc.M705856200							WOS:000250625400042	
J	Narsai, R; Howell, KA; Millar, AH; O'Toole, N; Small, I; Whelan, J				Narsai, Reena; Howell, Katharine A.; Millar, A. Harvey; O'Toole, Nicholas; Small, Ian; Whelan, James		Genome-wide analysis of mRNA decay rates and their determinants in Arabidopsis thaliana	PLANT CELL																								1040-4651				NOV	2007	19	11				3418	3436		10.1105/tpc.107.055046							WOS:000252268700010	
J	Micheletto, S; Rodriguez-Uribe, L; Hernandez, R; Richins, RD; Curry, J; O'Connell, MA				Micheletto, Sandra; Rodriguez-Uribe, Laura; Hernandez, Ricardo; Richins, Richard D.; Curry, Jeanne; O'Connell, Mary A.		Comparative transcript profiling in roots of Phaseolus acutifolius and P-vulgaris under water deficit stress	PLANT SCIENCE																								0168-9452				NOV	2007	173	5				510	520		10.1016/j.plantsci.2007.08.003							WOS:000250436300004	
J	Maraziotis, IA; Dimitrakopoulou, K; Bezerianos, A				Maraziotis, Ioannis A.; Dimitrakopoulou, Konstantina; Bezerianos, Anastasios		Growing functional modules from a seed protein via integration of protein interaction and gene expression data	BMC BIOINFORMATICS																								1471-2105				OCT 23	2007	8							408	10.1186/1471-2105-8-408							WOS:000252937300001	
J	Ho, EC; Cahill, MJ; Saville, BJ				Ho, Eric Ch; Cahill, Matt J.; Saville, Barry J.		Gene discovery and transcript analyses in the corn smut pathogen Ustilago maydis: expressed sequence tag and genome sequence comparison	BMC GENOMICS																								1471-2164				SEP 24	2007	8							334	10.1186/1471-2164-8-334							WOS:000253464700001	
J	Arvas, M; Kivioja, T; Mitchell, A; Saloheimo, M; Ussery, D; Penttila, M; Oliver, S				Arvas, Mikko; Kivioja, Teemu; Mitchell, Alex; Saloheimo, Markku; Ussery, David; Penttila, Merja; Oliver, Stephen		Comparison of protein coding gene contents of the fungal phyla Pezizomycotina and Saccharomycotina	BMC GENOMICS																								1471-2164				SEP 17	2007	8							325	10.1186/1471-2164-8-325							WOS:000250562900001	
J	Bebek, G; Yang, J				Bebek, Gurkan; Yang, Jiong		PathFinder: mining signal transduction pathway segments from protein-protein interaction networks	BMC BIOINFORMATICS																								1471-2105				SEP 13	2007	8							335	10.1186/1471-2105-8-335							WOS:000251409800001	
J	Breakspear, A; Momany, M				Breakspear, Andrew; Momany, Michelle		Aspergillus nidulans conidiation genes dewA, fluG, and stuA are differentially regulated in early vegetative growth	EUKARYOTIC CELL																								1535-9778				SEP	2007	6	9				1697	1700		10.1128/EC.00189-07							WOS:000249477200019	
J	van de Vondervoort, PJI; Langeveld, SMJ; Visser, J; van Peij, NNME; Pel, HJ; van den Hondel, CAMJJ; Ram, AFJ				van de Vondervoort, Peter J. I.; Langeveld, Sandra M. J.; Visser, Jaap; van Peij, Noel N. M. E.; Pel, Herman J.; van den Hondel, Cees A. M. J. J.; Ram, Arthur F. J.		Identification of a mitotic recombination hotspot on chromosome III of the asexual fungus Aspergillus niger and its possible correlation elevated basal transcription	CURRENT GENETICS																								0172-8083				SEP	2007	52	3-4				107	114		10.1007/s00294-007-0143-0							WOS:000249839700001	
J	Vaupotic, T; Plemenitas, A				Vaupotic, Tomaz; Plemenitas, Ana		Differential gene expression and HogI interaction with osmoresponsive genes in the extremely halotolerant black yeast Hortaea werneckii	BMC GENOMICS																								1471-2164				AUG 16	2007	8							280	10.1186/1471-2164-8-280							WOS:000250213600001	
J	Yu, HY; Jansen, R; Stolovitzky, G; Gerstein, M				Yu, Haiyuan; Jansen, Ronald; Stolovitzky, Gustavo; Gerstein, Mark		Total ancestry measure: quantifying the similarity in tree-like classification, with genomic applications	BIOINFORMATICS																								1367-4803				AUG 15	2007	23	16				2163	2173		10.1093/bioinformatics/btm291							WOS:000249818300017	
J	Rotter, D; Bharti, AK; Li, HJM; Luo, CY; Bonos, SA; Bughrara, S; Jung, GW; Messing, J; Meyer, WA; Rudd, S; Warnke, SE; Belanger, FC				Rotter, David; Bharti, Arvind K.; Li, Huaijun Michael; Luo, Chongyuan; Bonos, Stacy A.; Bughrara, Suleiman; Jung, Geunhwa; Messing, Joachim; Meyer, William A.; Rudd, Stephen; Warnke, Scott E.; Belanger, Faith C.		Analysis of EST sequences suggests recent origin of allotetraploid colonial and creeping bentgrasses	MOLECULAR GENETICS AND GENOMICS																								1617-4615				AUG	2007	278	2				197	209		10.1007/s00438-007-0240-2							WOS:000247976500007	
J	Frishman, D				Frishman, Dmitrij		Protein annotation at genomic scale: The current status	CHEMICAL REVIEWS																								0009-2665				AUG	2007	107	8				3448	3466		10.1021/cr068303k							WOS:000248657400007	
J	Artamonova, II; Frishman, G; Frishman, D				Artamonova, Irena I.; Frishman, Goar; Frishman, Dmitrij		Applying negative rule mining to improve genome annotation	BMC BIOINFORMATICS																								1471-2105				JUL 21	2007	8							261	10.1186/1471-2105-8-261							WOS:000248566100001	
J	Cordier, H; Mendes, F; Vasconcelos, I; Francois, JM				Cordier, Helene; Mendes, Filipa; Vasconcelos, Isabel; Francois, Jean M.		A metabolic and genomic study of engineered Saccharomyces cerevisiae strains for high glycerol production	METABOLIC ENGINEERING																								1096-7176				JUL	2007	9	4				364	378		10.1016/j.ymben.2007.03.002							WOS:000249085900006	
J	Ohn, JH; Kim, J; Kim, JH				Ohn, Jung Hun; Kim, Jihun; Kim, Ju Han		Genomic characterization of perturbation sensitivity	BIOINFORMATICS				15th Conference on Intelligent Systems for Molecular Biology/6th European Conference on Computational Biology	JUL 21-25, 2007	Vienna, AUSTRIA																		1367-4803				JUL 1	2007	23	13				I354	I358		10.1093/bioinformatics/btm172							WOS:000248620400066	
J	Krinke, O; Ruelland, E; Valentova, O; Vergnolle, C; Renou, JP; Taconnat, L; Flemr, M; Burketova, L; Zachowski, A				Krinke, Ondrej; Ruelland, Eric; Valentova, Olga; Vergnolle, Chantal; Renou, Jean-Pierre; Taconnat, Ludivine; Flemr, Matyas; Burketova, Lenka; Zachowski, Alain		Phosphatidylinositol 4-kinase activation is an early response to salicylic acid in arabidopsis suspension cells	PLANT PHYSIOLOGY																								0032-0889				JUL	2007	144	3				1347	1359		10.1104/pp.107.100842							WOS:000247849400012	
J	Grimplet, J; Deluc, LG; Tillett, RL; Wheatley, MD; Schlauch, KA; Cramer, GR; Cushman, JC				Grimplet, Jerome; Deluc, Laurent G.; Tillett, Richard L.; Wheatley, Matthew D.; Schlauch, Karen A.; Cramer, Grant R.; Cushman, John C.		Tissue-specific mRNA expression profiling in grape berry tissues	BMC GENOMICS																								1471-2164				JUN 21	2007	8							187	10.1186/1471-2164-8-187							WOS:000248123500002	
J	Tian, CG; Kasuga, T; Sachs, MS; Glass, NL				Tian, Chaoguang; Kasuga, Takao; Sachs, Matthew S.; Glass, N. Louise		Transcriptional profiling of cross pathway control in Neurospora crassa and comparative analysis of the Gcn4 and CPC1 regulons	EUKARYOTIC CELL																								1535-9778				JUN	2007	6	6				1018	1029		10.1128/EC.00078-07							WOS:000247439700013	
J	Joosen, R; Cordewener, J; Supena, EDJ; Vorst, O; Lammers, M; Maliepaard, C; Zeilmaker, T; Miki, B; America, T; Custers, J; Boutilier, K				Joosen, Ronny; Cordewener, Jan; Supena, Ence Darmo Jaya; Vorst, Oscar; Lammers, Michiel; Maliepaard, Chris; Zeilmaker, Tieme; Miki, Brian; America, Twan; Custers, Jan; Boutilier, Kim		Combined transcriptome and proteome analysis identifies pathways and markers associated with the establishment of rapeseed microspore-derived embryo development	PLANT PHYSIOLOGY																								0032-0889				MAY	2007	144	1				155	172		10.1104/pp.107.098723							WOS:000246356300014	
J	Ferrari, S; Galletti, R; Denoux, C; De Lorenzo, G; Ausubel, FM; Dewdney, J				Ferrari, Simone; Galletti, Roberta; Denoux, Carine; De Lorenzo, Giulia; Ausubel, Frederick M.; Dewdney, Julia		Resistance to Botrytis cinerea induced in Arabidopsis by elicitors is independent of salicylic acid, ethylene, or jasmonate signaling but requires PHYTOALEXIN DEFICIENT3	PLANT PHYSIOLOGY																								0032-0889				MAY	2007	144	1				367	379		10.1104/pp.107.095596							WOS:000246356300030	
J	Bragg, JG; Wagner, A				Bragg, Jason G.; Wagner, Andreas		Protein carbon content evolves in response to carbon availability and may influence the fate of duplicated genes	PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES																								0962-8452				APR 22	2007	274	1613				1063	1070		10.1098/rspb.2006.0290							WOS:000245472200008	
J	Krumsiek, J; Arnold, R; Rattei, T				Krumsiek, Jan; Arnold, Roland; Rattei, Thomas		Gepard: a rapid and sensitive tool for creating dotplots on genome scale	BIOINFORMATICS																								1367-4803				APR 15	2007	23	8				1026	1028		10.1093/bioinformatics/btm039							WOS:000246293000015	
J	Emmersen, J; Rudd, S; Mewes, HW; Tetko, IV				Emmersen, Jeppe; Rudd, Stephen; Mewes, Hans-Werner; Tetko, Igor V.		Separation of sequences from host-pathogen interface using triplet nucleotide frequencies	FUNGAL GENETICS AND BIOLOGY																								1087-1845				APR	2007	44	4				231	241		10.1016/j.fgb.2006.11.010							WOS:000244902500001	
J	Godard, P; Urrestarazu, A; Vissers, S; Kontos, K; Bontempi, G; van Helden, J; Andre, B				Godard, Patrice; Urrestarazu, Antonio; Vissers, Stephan; Kontos, Kevin; Bontempi, Gianluca; van Helden, Jacques; Andre, Bruno		Effect of 21 different nitrogen sources on global gene expression in the yeast Saccharomyces cerevisiae	MOLECULAR AND CELLULAR BIOLOGY																								0270-7306				APR	2007	27	8				3065	3086		10.1128/MCB.01084-06							WOS:000245558300025	
J	Fernandez-Arenas, E; Cabezon, V; Bermejo, C; Arroyo, J; Nombela, C; Diez-Orejas, R; Gil, C				Fernandez-Arenas, Elena; Cabezon, Virginia; Bermejo, Clara; Arroyo, Javier; Nombela, Cesar; Diez-Orejas, Rosalia; Gil, Concha		Integrated proteomics and genomics strategies bring new insight into Candida albicans response upon macrophage interaction	MOLECULAR & CELLULAR PROTEOMICS																								1535-9476				MAR	2007	6	3				460	478		10.1074/mcp.M600210-MCP200							WOS:000245214900008	
J	Lee, J; He, K; Stolc, V; Lee, H; Figueroa, P; Gao, Y; Tongprasit, W; Zhao, HY; Lee, I; Deng, X				Lee, Jungeun; He, Kun; Stolc, Viktor; Lee, Horim; Figueroa, Pablo; Gao, Ying; Tongprasit, Waraporn; Zhao, Hongyu; Lee, Ilha; Deng, XingWang		Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development	PLANT CELL																								1040-4651				MAR	2007	19	3				731	749		10.1105/tpc.106.047688							WOS:000246132600004	
J	Pel, HJ; de Winde, JH; Archer, DB; Dyer, PS; Hofmann, G; Schaap, PJ; Turner, G; de Vries, RP; Albang, R; Albermann, K; Andersen, MR; Bendtsen, JD; Benen, JAE; van den Berg, M; Breestraat, S; Caddick, MX; Contreras, R; Cornell, M; Coutinho, PM; Danchin, EGJ; Debets, AJM; Dekker, P; van Dijck, PWM; van Dijk, A; Dijkhuizen, L; Driessen, AJM; d'Enfert, C; Geysens, S; Goosen, C; Groot, GSP; de Groot, PWJ; Guillemette, T; Henrissat, B; Herweijer, M; van den Hombergh, JPTW; van den Hondel, CAMJJ; van der Heijden, RTJM; van der Kaaij, RM; Klis, FM; Kools, HJ; Kubicek, CP; van Kuyk, PA; Lauber, J; Lu, X; van der Maarel, MJEC; Meulenberg, R; Menke, H; Mortimer, MA; Nielsen, J; Oliver, SG; Olsthoorn, M; Pal, K; van Peij, NNME; Ram, AFJ; Rinas, U; Roubos, JA; Sagt, CMJ; Schmoll, M; Sun, JB; Ussery, D; Varga, J; Vervecken, W; de Vondervoort, PJJV; Wedler, H; Wosten, HAB; Zeng, AP; van Ooyen, AJJ; Visser, J; Stam, H				Pel, Herman J.; de Winde, Johannes H.; Archer, David B.; Dyer, Paul S.; Hofmann, Gerald; Schaap, Peter J.; Turner, Geoffrey; de Vries, Ronald P.; Albang, Richard; Albermann, Kaj; Andersen, Mikael R.; Bendtsen, Jannick D.; Benen, Jacques A. E.; van den Berg, Marco; Breestraat, Stefaan; Caddick, Mark X.; Contreras, Roland; Cornell, Michael; Coutinho, Pedro M.; Danchin, Etienne G. J.; Debets, Alfons J. M.; Dekker, Peter; van Dijck, Piet W. M.; van Dijk, Alard; Dijkhuizen, Lubbert; Driessen, Arnold J. M.; d'Enfert, Christophe; Geysens, Steven; Goosen, Coenie; Groot, Gert S. P.; de Groot, Piet W. J.; Guillemette, Thomas; Henrissat, Bernard; Herweijer, Marga; van den Hombergh, Johannes P. T. W.; van den Hondel, Cees A. M. J. J.; van der Heijden, Rene T. J. M.; van der Kaaij, Rachel M.; Klis, Frans M.; Kools, Harrie J.; Kubicek, Christian P.; van Kuyk, Patricia A.; Lauber, Juergen; Lu, Xin; van der Maarel, Marc J. E. C.; Meulenberg, Rogier; Menke, Hildegard; Mortimer, Martin A.; Nielsen, Jens; Oliver, Stephen G.; Olsthoorn, Maurien; Pal, Karoly; van Peij, Noel N. M. E.; Ram, Arthur F. J.; Rinas, Ursula; Roubos, Johannes A.; Sagt, Cees M. J.; Schmoll, Monika; Sun, Jibin; Ussery, David; Varga, Janos; Vervecken, Wouter; de Vondervoort, Peter J. J. van; Wedler, Holger; Wosten, Han A. B.; Zeng, An-Ping; van Ooyen, Albert J. J.; Visser, Jaap; Stam, Hein		Genome sequencing and analysis of the versatile cell factory Aspergillus niger CBS 513.88	NATURE BIOTECHNOLOGY																								1087-0156				FEB	2007	25	2				221	231		10.1038/nbt1282							WOS:000244064000028	
B	Zhao, XM; Chen, L; Aihara, K		Zhang, XS; Chen, LN; Wu, LY; Wang, Y		Zhao, Xing-Ming; Chen, Luonan; Aihara, Kazuyuki		Gene function prediction with the shortest path in functional linkage graph	Optimization and Systems Biology	Lecture Notes in Operations Research			1st International Symposium on Optimization and Systems Biology	AUG 08-10, 2007	Beijing, PEOPLES R CHINA	Acad Math & Syst Sci, Shanghai Univ, Univ Tokyo, Natl Nat Sci Fdn China																		978-7-5062-7292-6				2007	7					68	74									WOS:000250141900010	
J	Bishop, AL; Rab, FA; Sumner, ER; Avery, SV				Bishop, Amy L.; Rab, Faiza A.; Sumner, Edward R.; Avery, Simon V.		Phenotypic heterogeneity can enhance rare-cell survival in 'stress-sensitive' yeast populations	MOLECULAR MICROBIOLOGY																								0950-382X				JAN	2007	63	2				507	520		10.1111/j.1365-2958.2006.05504.x							WOS:000243305300016	
S	Dunlap, JC; Borkovich, KA; Henn, MR; Turner, GE; Sachs, MS; Glass, NL; McCluskey, K; Plamann, M; Galagan, JE; Birren, BW; Weiss, RL; Townsend, JP; Loros, JJ; Nelson, MA; Lambreghts, R; Colot, HV; Park, G; Collopy, P; Ringelberg, C; Crew, C; Litvinkova, L; DeCaprio, D; Hood, HM; Curilla, S; Shi, M; Crawford, M; Koerhsen, M; Montgomery, P; Larson, L; Pearson, M; Kasuga, T; Tian, CG; Bastuerkmen, M; Altamirano, L; Xu, JH		Dunlap, JC		Dunlap, Jay C.; Borkovich, Katherine A.; Henn, Matthew R.; Turner, Gloria E.; Sachs, Matthew S.; Glass, N. Louise; McCluskey, Kevin; Plamann, Michael; Galagan, James E.; Birren, Bruce W.; Weiss, Richard L.; Townsend, Jeffrey P.; Loros, Jennifer J.; Nelson, Mary Anne; Lambreghts, Randy; Colot, Hildur V.; Park, Gyungsoon; Collopy, Patrick; Ringelberg, Carol; Crew, Christopher; Litvinkova, Liubov; DeCaprio, Dave; Hood, Heather M.; Curilla, Susan; Shi, Mi; Crawford, Matthew; Koerhsen, Michael; Montgomery, Phil; Larson, Lisa; Pearson, Matthew; Kasuga, Takao; Tian, Chaoguang; Bastuerkmen, Meray; Altamirano, Lorena; Xu, Junhuan		Enabling a Community to Dissect an Organism: Overview of the Neurospora Functional Genomics Project	FUNGAL GENOMICS	Advances in Genetics																							0065-2660	978-0-12-017657-1				2007	57					49	96		10.1016/S0065-2660(06)57002-6							WOS:000280572500002	
J	Golkari, S; Gilbert, J; Prashar, S; Procunier, JD				Golkari, Saber; Gilbert, Jeannie; Prashar, Suvira; Procunier, J. Douglas		Microarray analysis of Fusarium graminearum-induced wheat genes: identification of organ-specific and differentially expressed genes	PLANT BIOTECHNOLOGY JOURNAL																								1467-7644				JAN	2007	5	1				38	49		10.1111/j.1467-7652.2006.00213.x							WOS:000242963700005	
J	Ahn, JH; Kim, J; Yoo, SJ; Yoo, SY; Roh, H; Choi, JH; Choi, MS; Chung, KS; Han, EJ; Hong, SM; Jung, SH; Kang, HJ; Kim, BK; Kim, MD; Kim, YK; Kim, YH; Lee, H; Park, SH; Yang, JH; Yang, JW; Yoo, DH; Yoo, SK; Lee, JS				Ahn, Ji Hoon; Kim, Joonki; Yoo, Seong Jeon; Yoo, So Yeon; Roh, Hyungmin; Choi, Jun-Hyuk; Choi, Mi Suk; Chung, Kyung Sook; Han, Eun Ju; Hong, Sung Myun; Jung, Sung Hye; Kang, Hyo Jin; Kim, Bo Kyung; Kim, Mi Duk; Kim, Youn Kyung; Kim, Yun Hee; Lee, Hanna; Park, Soo Hyun; Yang, Jee Hoon; Yang, Jung Won; Yoo, Dong-Hun; Yoo, Seung Kwan; Lee, Jong Seob		Isolation of 151 mutants that have developmental defects from T-DNA tagging	PLANT AND CELL PHYSIOLOGY																								0032-0781				JAN	2007	48	1				169	178		10.1093/pcp/pcl052							WOS:000243993900017	
S	Frohler, S; Kramer, S		Muggleton, S; Otero, R; Tamaddoni-Nezhad, A		Froehler, Sebastian; Kramer, Stefan		Inductive logic programming for gene regulation prediction	Inductive Logic Programming	LECTURE NOTES IN ARTIFICIAL INTELLIGENCE			16th International Conference on Inductive Logic Programming	AUG 24-27, 2006	Santiago de Compostela, SPAIN	PASCAL European Network Excellence, Ind Commerc, Conseller Novac, Ordenac Univ, Conseiller Educ, Univ Coruna, Imperial Coll London, Univ Santiago Compostela, Asoc Espanola Inteligen Artificial																	0302-9743	978-3-540-73846-6				2007	4455					34	36									WOS:000249325400008	
